time_s,cmd_x,cmd_y,actual_x,actual_y
10.695096,524.051,0.000,528.182,4.131
10.721327,518.987,0.000,523.118,4.131
10.747420,513.924,0.000,518.055,4.131
10.773559,508.861,0.000,512.992,4.131
10.799520,503.797,0.000,507.929,4.131
10.825699,498.734,0.000,502.865,4.131
10.852480,493.671,0.000,497.802,4.131
10.878847,488.608,0.000,492.739,4.131
10.904978,483.544,0.000,487.675,4.131
10.930953,478.481,0.000,482.612,4.131
10.957161,473.418,0.000,477.549,4.131
10.983698,468.354,0.000,472.486,4.131
11.009935,463.291,0.000,467.422,4.131
11.036121,458.228,0.000,462.359,4.131
11.062221,453.165,0.000,457.296,4.131
11.088241,448.101,0.000,452.232,4.131
11.114307,443.038,0.000,447.169,4.131
11.140470,437.975,0.000,442.106,4.131
11.166334,432.911,0.000,437.043,4.131
11.192708,427.848,0.000,431.979,4.131
11.219442,422.785,0.000,426.916,4.131
11.245470,417.722,0.000,421.853,4.131
11.271470,412.658,0.000,416.789,4.131
11.297204,407.595,0.000,411.726,4.131
11.323159,402.532,0.000,406.663,4.131
11.349580,397.468,0.000,401.599,4.131
11.375691,392.405,0.000,396.536,4.131
11.401949,387.342,0.000,391.473,4.131
11.428138,382.278,0.000,386.410,4.131
11.454462,377.215,0.000,381.346,4.131
11.480421,372.152,0.000,376.283,4.131
11.507002,367.089,0.000,371.220,4.131
11.532752,362.025,0.000,366.156,4.131
11.558870,356.962,0.000,361.093,4.131
11.584998,351.899,0.000,356.030,4.131
11.611090,346.835,0.000,350.967,4.131
11.636806,341.772,0.000,345.903,4.131
11.662843,336.709,0.000,340.840,4.131
11.689097,331.646,0.000,335.777,4.131
11.715408,326.582,0.000,330.713,4.131
11.741699,321.519,0.000,325.650,4.131
11.768137,316.456,0.000,320.587,4.131
11.794398,311.392,0.000,315.524,4.131
11.820319,306.329,0.000,310.460,4.131
11.846137,301.266,0.000,305.397,4.131
11.872406,296.203,0.000,300.334,4.131
11.898085,291.139,0.000,295.270,4.131
11.924625,286.076,0.000,290.207,4.131
11.951189,281.013,0.000,285.144,4.131
11.978176,275.949,0.000,280.081,4.131
12.004411,270.886,0.000,275.017,4.131
12.030325,265.823,0.000,269.954,4.131
12.056540,260.759,0.000,264.891,4.131
12.082904,255.696,0.000,259.827,4.131
12.109011,250.633,0.000,254.764,4.131
12.135308,245.570,0.000,249.701,4.131
12.161289,240.506,0.000,244.637,4.131
12.187610,235.443,0.000,239.574,4.131
12.214108,230.380,0.000,234.511,4.131
12.240547,225.316,0.000,229.448,4.131
12.266479,220.253,0.000,224.384,4.131
12.292418,215.190,0.000,219.321,4.131
12.318919,210.127,0.000,214.258,4.131
12.344626,205.063,0.000,209.194,4.131
12.370569,200.000,0.000,204.131,4.131
12.397119,200.000,400.000,200.000,400.000
12.397910,200.000,0.000,200.000,4.131
12.449605,206.723,0.000,203.961,4.131
12.501363,213.445,0.000,209.720,4.131
12.552449,220.168,0.000,216.135,4.131
12.603887,226.891,0.000,222.777,4.131
12.654853,233.613,0.000,229.482,4.131
12.705809,240.336,0.000,236.205,4.131
12.756734,247.059,0.000,242.928,4.131
12.808178,253.782,0.000,249.650,4.131
12.859448,260.504,0.000,256.373,4.131
12.910613,267.227,0.000,263.096,4.131
12.961571,273.950,0.000,269.818,4.131
13.012961,280.672,0.000,276.541,4.131
13.064390,287.395,0.000,283.264,4.131
13.116061,294.118,0.000,289.987,4.131
13.166997,300.840,0.000,296.709,4.131
13.218569,307.563,0.000,303.432,4.131
13.270180,314.286,0.000,310.155,4.131
13.321488,321.008,0.000,316.877,4.131
13.372473,327.731,0.000,323.600,4.131
13.423972,334.454,0.000,330.323,4.131
13.475341,341.176,0.000,337.045,4.131
13.526587,347.899,0.000,343.768,4.131
13.577645,354.622,0.000,350.491,4.131
13.629285,361.345,0.000,357.213,4.131
13.680654,368.067,0.000,363.936,4.131
13.732195,374.790,0.000,370.659,4.131
13.783226,381.513,0.000,377.381,4.131
13.834410,388.235,0.000,384.104,4.131
13.885431,394.958,0.000,390.827,4.131
13.936739,401.681,0.000,397.550,4.131
13.988020,408.403,0.000,404.272,4.131
14.039024,415.126,0.000,410.995,4.131
14.090504,421.849,0.000,417.718,4.131
14.142020,428.571,0.000,424.440,4.131
14.193549,435.294,0.000,431.163,4.131
14.244379,442.017,0.000,437.886,4.131
14.295137,448.739,0.000,444.608,4.131
14.346137,455.462,0.000,451.331,4.131
14.397313,462.185,0.000,458.054,4.131
14.448374,468.908,0.000,464.776,4.131
14.499865,475.630,0.000,471.499,4.131
14.550839,482.353,0.000,478.222,4.131
14.601585,489.076,0.000,484.944,4.131
14.652452,495.798,0.000,491.667,4.131
14.703907,502.521,0.000,498.390,4.131
14.755023,509.244,0.000,505.113,4.131
14.806265,515.966,0.000,511.835,4.131
14.857549,522.689,0.000,518.558,4.131
14.908620,529.412,0.000,525.281,4.131
14.959872,536.134,0.000,532.003,4.131
15.011138,542.857,0.000,538.726,4.131
15.062225,549.580,0.000,545.449,4.131
15.113284,556.303,0.000,552.171,4.131
15.164543,563.025,0.000,558.894,4.131
15.215680,569.748,0.000,565.617,4.131
15.266951,576.471,0.000,572.339,4.131
15.318107,583.193,0.000,579.062,4.131
15.369737,589.916,0.000,585.785,4.131
15.420856,596.639,0.000,592.508,4.131
15.472237,603.361,0.000,599.230,4.131
15.523361,610.084,0.000,605.953,4.131
15.574612,616.807,0.000,612.676,4.131
15.626019,623.529,0.000,619.398,4.131
15.677546,630.252,0.000,626.121,4.131
15.728738,636.975,0.000,632.844,4.131
15.779597,643.697,0.000,639.566,4.131
15.830763,650.420,0.000,646.289,4.131
15.881787,657.143,0.000,653.012,4.131
15.933236,663.866,0.000,659.734,4.131
15.984627,670.588,0.000,666.457,4.131
16.036031,677.311,0.000,673.180,4.131
16.087561,684.034,0.000,679.902,4.131
16.138351,690.756,0.000,686.625,4.131
16.189716,697.479,0.000,693.348,4.131
16.240751,704.202,0.000,700.071,4.131
16.292039,710.924,0.000,706.793,4.131
16.343222,717.647,0.000,713.516,4.131
16.394567,724.370,0.000,720.239,4.131
16.445865,731.092,0.000,726.961,4.131
16.496963,737.815,0.000,733.684,4.131
16.549053,744.538,0.000,740.407,4.131
16.600489,751.261,0.000,747.129,4.131
16.651501,757.983,0.000,753.852,4.131
16.702165,764.706,0.000,760.575,4.131
16.753939,771.429,0.000,767.297,4.131
16.804929,778.151,0.000,774.020,4.131
